Species	Phylum	tip_name
Owenia_fusiformis	Annelida	Owefu
Daphnia_magna	Arthropoda	Dapma
Branchiostoma_floridae	Chordata	Brafl
Homo_sapiens	Chordata	homsa
Aurelia_coerulea	Cnidaria	Aurco
Cassiopea_xamachana	Cnidaria	Casxa
Clytia_hemisphaerica	Cnidaria	Clyhe
Exaiptasia_daphana	Cnidaria	Exada
Hydra_vulgaris	Cnidaria	Hydvu
Hydractinia_symbiologicarpus	Cnidaria	Hydsy
Nematostella_vectensis	Cnidaria	Nemve
Pelagia_noctulica	Cnidaria	Pnoc
Rhopilema_esculentum	Cnidaria	Rhoes
Sanderia_malayensis	Cnidaria	Sanma
Stylopohra_pistillata	Cnidaria	Stypi
Tripedalia_cystrophora	Cnidaria	Tripe
Euplokamis_dunlapae	Ctenophora	Eupdu
Mnemiopsis_leidyi	Ctenophora	Mnele
Lytechinus_variegatus	Echinodermata	Lytva
Magallana_gigas	Molusca	Maggi
C_elegans	Nematoda	Caeel
Trichoplax_adherens	Placozoa	Triad
Amphimedon_queenslandica	Porifera	Ampqu
Spongilla_lacustris	Porifera	Spolu
Suberites_domuncula	Porifera	Subdo
