Class,Clade_specific_expansion,Gene,Aurelia_scaffold,Aurelia_new,Rhopilema_prot,Rhopilema_gene,Sanderia_prot,Sanderia_gene,Tripedalia,Clytia,Hydra,Nematostella,Exaptaisia 
FOXN2/3,,FOXN2/3,scaffold16.g589.t1,,XP_065052498.1,,"ENSXQXP00000026145.1_ENSXQXG00000018279.1
",,ENA_GHAQ01048212_GHAQ01048212.1,"XLOC_028622
","HVAEP6.G011403
",NV2.11642.1_121-208,XP_020911880.1_111-200
FOXN1/4,,FOXN1/4,scaffold18.g661.t1_149-236,,XP_065072406.1_149-236,,ENSXQXP00000026632.1_ENSXQXG00000018584.1_150-237,,ENA_GHAQ01068163_GHAQ01068163.1_161-248,XLOC_0166380_188-275,HVAEP3.G005557_173-260,NV2.14917.1_169-256,XP_020892444.1_165-252
FOXO,,FOXO,scaffold11.g208.t1_79-166,,XP_065057244.1_81-168,,ENSXQXP00000001352.1_ENSXQXG00000001178.1_76-163,,ENA_GHAQ01131611_GHAQ01131611.1_79-166,XLOC_004723_81-168,HVAEP3.G005217_89-177,NV2.9025.1_64-152,XP_020895685.1_57-145
FOXO,Anthozoan_specific_FOXO_expansion,AntFOXO.1,-,-,-,,-,,-,-,-,NV2.13053.1_170-258,XP_020907065.1_184-274
FOXO,Anthozoan_specific_FOXO_expansion,AntFOXO.2,-,-,-,,-,,-,-,-,NV2.13744.1_122-211,XP_028519169.1_145-234
FOXO,Anthozoan_specific_FOXO_expansion,AntFOXO.3,-,-,-,,-,,-,-,-,NV2.14350.1_112-203,XP_028519169.1_145-234
FOXO,Anthozoan_specific_FOXO_expansion,AntFOXO.4,-,-,-,,-,,-,-,-,NV2.20634.1_176-262,XP_020915574.1_132-220
FOXP,,FOXP,scaffold20.g528.t5_630-710,,XP_065066917.1_625-705,,ENSXQXP00000007889.1_ENSXQXG00000006040.1_243-323,,ENA_GHAQ01073254_GHAQ01073254.1_613-694,XLOC_042667_445-526,HVAEP14.G026976_456-537,NV2.645.2_471-551,XP_020898095.1_461-542
FOXM,,FOXM,-,-,-,,-,,-,-,-,NV2.18631.1_59-145,XP_020906948.1_56-142
FOXJ2/3,,FOXJ2/3,scaffold19.g250.t1_60-145,,XP_065060988.1_64-149,,ENSXQXP00000020250.1_ENSXQXG00000014319.1_66-151,,ENA_GHAQ01048157_GHAQ01048157.1_70-156,TRINITY_DN48476_c0_g2_i1_64-150,,NV2.13336.1_72-157,XP_020900450.1_71-156
FOXJ1,,FOXJ1,scaffold13.g541.t1_100-186,,XP_065065561.1_92-178,,ENSXQXP00000016450.1_ENSXQXG00000011708.1_139-225,,,ENA_GHAQ01098555_GHAQ01098555.1_109-195,HVAEP8.G014722_144-230,NV2.7956.1_101-187,XP_020903174.1_106-192
FOXK,,FOXK,scaffold13.g277.t1_244-330,,XP_065065606.1_244-330,,ENSXQXP00000014510.1_ENSXQXG00000010395.1_271-357,,ENA_GHAQ01016578_GHAQ01016578.1_245-331,XLOC_029186_290-376,HVAEP8.G015369_269-355,NV2.7400.1_234-320,XP_020914191.1_242-328
FOXD,,FOXD,scaffold1.g144.t1_92-178,,XP_065058170.1_89-175,,ENSXQXP00000009239.1_ENSXQXG00000006953.1_44-130,,ENA_GHAQ01119036_GHAQ01119036.1_123-209,-,-,-,-
FOXD,Anthozoan_specific_FOXD_duplication,AntFOXD.1,-,-,-,,-,,-,-,-,-,XP_020891812.1_75-161
FOXD,Anthozoan_specific_FOXD_duplication,AntFOXD.2,-,-,-,,-,,-,-,-,NV2.23089.1_73-159,XP_020917652.1_77-163
FOXD,Anthozoan_specific_FOXD_duplication,AntFOXD.3,,,,,,,,,,NV2.25991.1_38-125,XP_020917839.1_53-141
FOXC,,FOXC,scaffold6.g58.t1_81-167,,XP_065065228.1_78-164,,ENSXQXP00000029581.1_ENSXQXG00000020522.1_64-150,,-,XLOC_001095_132-218,HVAEP15.G027359_88-174,NV2.30002.1_78-164,XP_020902419.1_81-167
FOXA,,FOXA,scaffold16.g749.t1_184-270,,XP_065052199.1_66-152,,ENSXQXP00000024501.1_ENSXQXG00000017190.1_189-275,,ENA_GHAQ01132272_GHAQ01132272.1_69-155,XLOC_044586_85-171,HVAEP6.G011613_80-166,NV2.11441.1_39-125,XP_020893103.1_54-140
FOXB,,FOXB,-,-,-,,-,,,-,-,NV2.25999.1_12-98,XP_020904925.1_12-98
FOXB,Scyphozoan_specific_FOXB_duplication,ScyFOXB1,foxB1,,FoxB1_NW_027019762.1_7813099-7813888_translated_12-98,,ENSXQXP00000011504.1_ENSXQXG00000008379.1_55-141,,ENA_GHAQ01133162_GHAQ01133162.1_12-98,,,-,-
FOXB,Scyphozoan_specific_FOXB_duplication,ScyFOXB2,scaffold13.g642.t1_12-98,,XP_065066175.1_12-98,,ENSXQXP00000012300.1_ENSXQXG00000008891.1_22-108,,,,,-,-
FOXB,Scyphozoan_specific_FOXB_duplication,ScyFOXB3,scaffold8.g352.t1_12-98,,,,ENSXQXP00000015714.1_ENSXQXG00000011219.1_84-171,,,,,-,-
FOXB,Hydrozoan_specific_FOXB_duplication,HydFOXB1,-,-,-,,-,,-,XLOC_018078_12-98,HVAEP12.G022887_12-98,-,-
FOXB,Hydrozoan_specific_FOXB_duplication,HydFOXB2,-,-,-,,-,,-,XLOC_042605_12-99,,-,-
FOXA/B,-,FOXA/B,-,-,-,,-,,-,-,-,NV2.23888.1_93-180,XP_020904840.1_100-187
FOXL2,,FOXL2,-,-,-,,-,,ENA_GHAQ01075739_GHAQ01075739.1_72-158,XLOC_004809_115-201,-,NV2.14459.1_43-129,XP_020913639.1_62-148
FOXL2,Scyphozoan_specific_FOXL2_duplication,FOXL2.1,scaffold19.g81.t1_60-146,,XP_065060654.1_56-142,,,,-,-,-,-,-
FOXL2,Rhopilema_specific_FOXL2.1_duplication,FOXL2.1,,,XP_065061122.1_59-145,,ENSXQXP00000023261.1_ENSXQXG00000016430.1_60-146,,-,-,-,-,-
FOXL2,Scyphozoan_specific_FOXL2_duplication,FOXL2.2,scaffold19.g80.t1_65-151,,XP_065060653.1_58-144,,ENSXQXP00000023434.1_ENSXQXG00000016538.1_91-177,,-,-,-,-,-
FOXG,,FOXG,-,-,-,,-,,-,-,-,NV2.20035.1_60-145,XP_020909243.2_52-137
FOXQ2.1,,FOXQ2.1,-,-,XP_065051725.1_86-170,,ENSXQXP00000023407.1_ENSXQXG00000016521.1_47-131,,,XLOC_014597_105-189,,NV2.23678.1_81-165,XP_020908211.1_58-142
FOXQ2.2,Anthozoan_orthologs_of_Medusozoan_expansion,FOXQ2.2A/B/C/D/E,,,,,,,,,,NV2.232.1_124-209,XP_020903273.1_116-201
FOXQ2.2,Anthozoan_orthologs_of_Medusozoan_expansion,FOXQ2.2A/B/C/D/E,,,,,,,,,,NV2.1396.1_85-170,XP_020903274.1_92-175
FOXQ2.2,Medusozoan_FOXQ2.2_expansion,FOXQ2.2A,scaffold3.g570.t1_97-179,,XP_065066505.1_98-179,,ENSXQXP00000032249.1_ENSXQXG00000022448.1_110-191,,ENA_GHAQ01037600_GHAQ01037600.1_35-117,,,,
FOXQ2.2,Hydrozoan_specific_duplication_of_FOXQ2.2A,FOXQ2.2A1,,,,,,,,XLOC_003681_44-128,HVAEP9.G016399_28-112,,
FOXQ2.2,Hydrozoan_specific_duplication_of_FOXQ2.2A,FOXQ2.2A2,,,,,,,,XLOC_000890_313-395,,,
FOXQ2.2,Medusozoan_FOXQ2.2_expansion,FOXQ2.2B,scaffold18.g466.t1_158-241,,XP_065060371.1_29-111,,ENSXQXP00000031108.1_ENSXQXG00000021611.1_92-176,,ENA_GHAQ01020424_GHAQ01020424.1_28-110,-,-,,
