Class;Clade_specific_expansion;Gene;Aurelia_scaffold;Aurelia_new_genes;Rhopilema_prot;Rhopilema_gene;Sanderia_prot;Sanderia_gene;Tripedalia;Clytia;Hydra;Nematostella;Exaptaisia
FOXN2/3;;FOXN2/3;scaffold16.g589;ACOE016G020034;XP_065052498.1;LOC135681803;ENSXQXP00000026145.1;ENSXQXG00000018279.1;ENA_GHAQ01048212_GHAQ01048212.1;XLOC_028622;HVAEP6.G011403;NV2.11642.1;XP_020911880.1
FOXN1/4;;FOXN1/4;scaffold18.g661;ACOE018G022086;XP_065072406.1;LOC135696813;ENSXQXP00000026632.1;ENSXQXG00000018584.1;ENA_GHAQ01068163_GHAQ01068163.1;XLOC_0166380;HVAEP3.G005557;NV2.14917.1;XP_020892444.1
FOXO;;FOXO;scaffold11.g208;ACOE011G014209;XP_065057244.1;LOC135685283;ENSXQXP00000001352.1;ENSXQXG00000001178.1;ENA_GHAQ01131611_GHAQ01131611.1;XLOC_004723;HVAEP3.G005217;NV2.9025.1;XP_020895685.1
FOXO;Anthozoan_specific_FOXO_expansion;AntFOXO.1;-;NA;-;NA;-;NA;-;-;-;NV2.13053.1;XP_020907065.1
FOXO;Anthozoan_specific_FOXO_expansion;AntFOXO.2;-;NA;-;NA;-;NA;-;-;-;NV2.13744.1;XP_028519169.1
FOXO;Anthozoan_specific_FOXO_expansion;AntFOXO.3;-;NA;-;NA;-;NA;-;-;-;NV2.14350.1;XP_028519169.1
FOXO;Anthozoan_specific_FOXO_expansion;AntFOXO.4;-;NA;-;NA;-;NA;-;-;-;NV2.20634.1;XP_020915574.1
FOXP;;FOXP;scaffold20.g528;ACOE020G023844;XP_065066917.1;NA;ENSXQXP00000007889.1;ENSXQXG00000006040.1;ENA_GHAQ01073254_GHAQ01073254.1;XLOC_042667;HVAEP14.G026976;NV2.645.2;XP_020898095.1
FOXM;;FOXM;-;NA;-;NA;-;NA;-;-;-;NV2.18631.1;XP_020906948.1
FOXJ2/3;;FOXJ2/3;scaffold19.g250;ACOE019G022474;XP_065060988.1;LOC135688186;ENSXQXP00000020250.1;ENSXQXG00000014319.1;ENA_GHAQ01048157_GHAQ01048157.1;TRINITY_DN48476_c0_g2_i1;;NV2.13336.1;XP_020900450.1
FOXJ1;;FOXJ1;scaffold13.g541;ACOE013G016840;XP_065065561.1;LOC135691598;ENSXQXP00000016450.1;ENSXQXG00000011708.1;ENA_GHAQ01098555_GHAQ01098555.1;XLOC_002186;HVAEP8.G014722;NV2.7956.1;XP_020903174.1
FOXK;;FOXK;scaffold13.g277;ACOE013G016410;XP_065065606.1;LOC135691615;ENSXQXP00000014510.1;ENSXQXG00000010395.1;ENA_GHAQ01016578_GHAQ01016578.1;XLOC_029186;HVAEP8.G015369;NV2.7400.1;XP_020914191.1
FOXD;;FOXD;scaffold1.g144;ACOE001G000161;XP_065058170.1;LOC135685973;ENSXQXP00000009239.1;ENSXQXG00000006953.1;ENA_GHAQ01119036_GHAQ01119036.1;-;-;-;-
FOXD;Anthozoan_specific_FOXD_duplication;AntFOXD.1;-;NA;-;NA;-;NA;-;-;-;-;XP_020891812.1
FOXD;Anthozoan_specific_FOXD_duplication;AntFOXD.2;-;NA;-;NA;-;NA;-;-;-;NV2.23089.1;XP_020917652.1
FOXD;Anthozoan_specific_FOXD_duplication;AntFOXD.3;;NA;;NA;;NA;;;;NV2.25991.1;XP_020917839.1
FOXC;;FOXC;scaffold6.g58;ACOE006G007981;XP_065065228.1;LOC135691323;ENSXQXP00000029581.1;ENSXQXG00000020522.1;-;XLOC_001095;HVAEP15.G027359;NV2.30002.1;XP_020902419.1
