Class	Gene_name	Suberites_ID	Spongilla_ID	Amphimedon_ID				
FOXN2/3	FOXN2/3	SUB4.g7684.t1.p1|complete_140-230	ENSLPGP00000005344.1_ENSLPGG00000003949.1	XP_003387576.1				CladeII
FOXN1/4	FOXN1/4		ENSLPGP00000042598.1_ENSLPGG00000030307.1					
FOXN1/4	AmpFOXN1/4.1			XP_003386176.1				
FOXN1/4	AmpFOXN1/4.2			XP_003386177.1				
FOXN1/4	SubFOXN1/4.1	SUB4.g6545.t1.p1						
FOXN1/4	SubFOXN1/4.2	SUB4.g16505.t1.p1						
FOXN1/4	SubFOXN1/4.3	SUB4.g16630.t1.p1						
FOXN1/4	SubFOXN1/4.4	SUB4.g18159.t1.p1						
FOXO	FOXO	SUB4.g567.t1.p1	ENSLPGP00000036831.1_ENSLPGG00000026141.1					
FOXO	AmpFOXO.1			XP_003387810.3				
FOXO	AmpFOXO.2			XP_019858167.1				
FOXP	FOXP	SUB4.g7692.t1.p1	-	XP_019855855.1				
FOXM	FOXM	SUB4.g6895.t1.p1	ENSLPGP00000035639.1_ENSLPGG00000025264.1	XP_019850123.1				
FOXJ2/3	FOXJ2/3	SUB4.g18527.t2.p1	ENSLPGP00000009774.1_ENSLPGG00000007078.1	XP_019850221.1				
FOXJ1	FOXJ1	SUB4.g5193.t1.p1	-	XP_019849225.1				
FOXK	FOXK	SUB4.g6402.t1.p1	ENSLPGP00000007374.1_ENSLPGG00000005367.1					
FOXK	AmpFOXK.1			XP_003392087.1				
FOXK	AmpFOXK.2			XP_019851887.1				
FOXG	FOXG	SUB4.g10182.t1.p1	ENSLPGP00000022225.1_ENSLPGG00000015690.1	XP_003387169.1				CladeI
FOXL1/3	FOXL1/3	SUB4.g14478.t1.p1						
FOXL1/3	AmpFOXL1/3.1			XP_019848933.1				
FOXL1/3	AmpFOXL1/3.2			XP_019849045.1				
UncertainFOXL(1 or 2/3)		SUB4.g14328.t1.p1	ENSLPGP00000022980.1_ENSLPGG00000016233.1	XP_019858442.1				
FOXL2	FOXL2	SUB4.g18765.t1.p1	ENSLPGP00000009609.1_ENSLPGG00000006965.1	XP_011407693.1				
FOXD	FOXD	SUB4.g9386.t1.p1	ENSLPGP00000025188.1_ENSLPGG00000017789.1	XP_003386405.1				
unplaced		SUB4.g6430.t1.p1	ENSLPGP00000006943.1_ENSLPGG00000005072.1	XP_003384559.2				
